A-iteration;A-navi count;A-colonizators count;A-trees;A-bushes
0,000;75,000;63,000;124,735;499,535;
60,000;74,990;62,955;122,165;490,255;
120,000;74,910;62,705;120,630;483,540;
180,000;74,740;62,430;119,655;479,250;
240,000;74,465;62,185;119,115;476,975;
300,000;74,100;61,960;118,730;475,585;
360,000;73,515;61,705;118,400;474,720;
420,000;72,460;61,290;118,265;473,975;
480,000;71,135;60,715;118,105;473,455;
540,000;69,355;59,915;118,005;473,100;
600,000;67,350;58,725;117,890;472,800;
660,000;64,980;57,455;117,845;472,650;
720,000;62,340;55,590;117,825;472,510;
780,000;59,320;53,180;117,790;472,420;
840,000;55,695;50,715;117,770;472,390;
900,000;51,805;47,925;117,770;472,380;
960,000;48,255;44,815;117,770;472,380;
1020,000;44,655;41,325;117,770;472,380;
1080,000;41,195;37,635;117,770;472,380;
1140,000;37,815;34,465;117,770;472,380;
1200,000;34,835;31,260;117,770;472,380;
1260,000;32,125;28,685;117,770;472,380;
1320,000;29,590;26,180;117,770;472,380;
1380,000;27,575;24,665;117,770;472,380;
1440,000;25,795;23,530;117,770;472,380;
1500,000;24,435;22,505;117,770;472,380;
1560,000;23,110;21,725;117,770;472,380;
1620,000;22,340;21,030;117,770;472,380;
1680,000;21,670;20,585;117,770;472,380;
1740,000;21,250;20,225;117,770;472,380;
1800,000;20,970;19,980;117,770;472,380;
1860,000;20,820;19,770;117,770;472,380;
1920,000;20,695;19,725;117,770;472,380;
1980,000;20,590;19,705;117,770;472,380;
2040,000;20,535;19,685;117,770;472,380;
2100,000;20,510;19,640;117,770;472,380;
2160,000;20,475;19,600;117,770;472,380;
2220,000;20,460;19,580;117,770;472,380;
2280,000;20,435;19,565;117,770;472,380;
2340,000;20,425;19,555;117,770;472,380;
2400,000;20,415;19,510;117,770;472,380;
2460,000;20,415;19,505;117,770;472,380;
2520,000;20,415;19,495;117,770;472,380;
2580,000;20,410;19,485;117,770;472,380;
2640,000;20,410;19,485;117,770;472,380;
2700,000;20,410;19,480;117,770;472,380;
2760,000;20,410;19,465;117,770;472,380;
2820,000;20,410;19,465;117,770;472,380;
2880,000;20,410;19,465;117,770;472,380;
2940,000;20,410;19,465;117,770;472,380;
3000,000;20,410;19,465;117,770;472,380;
